latest_year,type,id,indicator,year,xaxis_display,value
0,country,AFG,gov_debt_to_gdp_perc,2010,2010,0.07697
0,country,ALB,gov_debt_to_gdp_perc,2010,2010,0.5772
0,country,DZA,gov_debt_to_gdp_perc,2010,2010,0.10492
0,country,AGO,gov_debt_to_gdp_perc,2010,2010,0.37163
0,country,ATG,gov_debt_to_gdp_perc,2010,2010,0.89742
0,country,ARG,gov_debt_to_gdp_perc,2010,2010,0.43454
0,country,ARM,gov_debt_to_gdp_perc,2010,2010,0.33757
0,country,AUS,gov_debt_to_gdp_perc,2010,2010,0.20352
0,country,AUT,gov_debt_to_gdp_perc,2010,2010,0.82418
0,country,AZE,gov_debt_to_gdp_perc,2010,2010,0.04981
0,country,BHS,gov_debt_to_gdp_perc,2010,2010,0.33883
0,country,BHR,gov_debt_to_gdp_perc,2010,2010,0.30011
0,country,BGD,gov_debt_to_gdp_perc,2010,2010,0.29623
0,country,BRB,gov_debt_to_gdp_perc,2010,2010,1.08158
0,country,BLR,gov_debt_to_gdp_perc,2010,2010,0.36805
0,country,BEL,gov_debt_to_gdp_perc,2010,2010,1.00273
0,country,BLZ,gov_debt_to_gdp_perc,2010,2010,0.68823
0,country,BEN,gov_debt_to_gdp_perc,2010,2010,0.21
0,country,BTN,gov_debt_to_gdp_perc,2010,2010,0.60971
0,country,BOL,gov_debt_to_gdp_perc,2010,2010,0.37637
0,country,BIH,gov_debt_to_gdp_perc,2010,2010,0.40805
0,country,BWA,gov_debt_to_gdp_perc,2010,2010,0.20826
0,country,BRA,gov_debt_to_gdp_perc,2010,2010,0.63045
0,country,BRN,gov_debt_to_gdp_perc,2010,2010,0.01113
0,country,BGR,gov_debt_to_gdp_perc,2010,2010,0.14066
0,country,BFA,gov_debt_to_gdp_perc,2010,2010,0.27819
0,country,BDI,gov_debt_to_gdp_perc,2010,2010,0.46912
0,country,CPV,gov_debt_to_gdp_perc,2010,2010,0.72546
0,country,KHM,gov_debt_to_gdp_perc,2010,2010,0.28744
0,country,CMR,gov_debt_to_gdp_perc,2010,2010,0.13989
0,country,CAN,gov_debt_to_gdp_perc,2010,2010,0.8402
0,country,CAF,gov_debt_to_gdp_perc,2010,2010,0.19883
0,country,TCD,gov_debt_to_gdp_perc,2010,2010,0.30051
0,country,CHL,gov_debt_to_gdp_perc,2010,2010,0.08607
0,country,CHN,gov_debt_to_gdp_perc,2010,2010,0.33924
0,country,COL,gov_debt_to_gdp_perc,2010,2010,0.36497
0,country,COM,gov_debt_to_gdp_perc,2010,2010,0.30459
0,country,COG,gov_debt_to_gdp_perc,2010,2010,0.43487
0,country,CRI,gov_debt_to_gdp_perc,2010,2010,0.2809
0,country,CIV,gov_debt_to_gdp_perc,2010,2010,0.45612
0,country,HRV,gov_debt_to_gdp_perc,2010,2010,0.58253
0,country,CUB,gov_debt_to_gdp_perc,2010,2010,NA
0,country,CYP,gov_debt_to_gdp_perc,2010,2010,0.55339
0,country,CZE,gov_debt_to_gdp_perc,2010,2010,0.37068
0,country,COD,gov_debt_to_gdp_perc,2010,2010,0.29479
0,country,DNK,gov_debt_to_gdp_perc,2010,2010,0.42588
0,country,DJI,gov_debt_to_gdp_perc,2010,2010,0.27906
0,country,DMA,gov_debt_to_gdp_perc,2010,2010,0.66829
0,country,DOM,gov_debt_to_gdp_perc,2010,2010,0.37311
0,country,ECU,gov_debt_to_gdp_perc,2010,2010,0.18063
0,country,EGY,gov_debt_to_gdp_perc,2010,2010,0.6959
0,country,SLV,gov_debt_to_gdp_perc,2010,2010,0.60042
0,country,GNQ,gov_debt_to_gdp_perc,2010,2010,0.07894
0,country,ERI,gov_debt_to_gdp_perc,2010,2010,1.98365
0,country,EST,gov_debt_to_gdp_perc,2010,2010,0.06661
0,country,SWZ,gov_debt_to_gdp_perc,2010,2010,0.13829
0,country,ETH,gov_debt_to_gdp_perc,2010,2010,0.39436
0,country,FJI,gov_debt_to_gdp_perc,2010,2010,0.53355
0,country,FIN,gov_debt_to_gdp_perc,2010,2010,0.50114
0,country,FRA,gov_debt_to_gdp_perc,2010,2010,0.81778
0,country,GAB,gov_debt_to_gdp_perc,2010,2010,0.21295
0,country,GMB,gov_debt_to_gdp_perc,2010,2010,0.42949
0,country,GEO,gov_debt_to_gdp_perc,2010,2010,0.3192
0,country,DEU,gov_debt_to_gdp_perc,2010,2010,0.81995
0,country,GHA,gov_debt_to_gdp_perc,2010,2010,0.34507
0,country,GRC,gov_debt_to_gdp_perc,2010,2010,1.47494
0,country,GRD,gov_debt_to_gdp_perc,2010,2010,0.96216
0,country,GTM,gov_debt_to_gdp_perc,2010,2010,0.24006
0,country,GIN,gov_debt_to_gdp_perc,2010,2010,0.68853
0,country,GNB,gov_debt_to_gdp_perc,2010,2010,0.61726
0,country,GUY,gov_debt_to_gdp_perc,2010,2010,0.5252
0,country,HTI,gov_debt_to_gdp_perc,2010,2010,0.2322
0,country,HND,gov_debt_to_gdp_perc,2010,2010,0.21697
0,country,HUN,gov_debt_to_gdp_perc,2010,2010,0.80007
0,country,ISL,gov_debt_to_gdp_perc,2010,2010,1.33141
0,country,IND,gov_debt_to_gdp_perc,2010,2010,0.664
0,country,IDN,gov_debt_to_gdp_perc,2010,2010,0.26363
0,country,IRN,gov_debt_to_gdp_perc,2010,2010,0.14757
0,country,IRQ,gov_debt_to_gdp_perc,2010,2010,0.53533
0,country,IRL,gov_debt_to_gdp_perc,2010,2010,0.86163
0,country,ISR,gov_debt_to_gdp_perc,2010,2010,0.6932
0,country,ITA,gov_debt_to_gdp_perc,2010,2010,1.19198
0,country,JAM,gov_debt_to_gdp_perc,2010,2010,1.09708
0,country,JPN,gov_debt_to_gdp_perc,2010,2010,2.0588
0,country,JOR,gov_debt_to_gdp_perc,2010,2010,0.59437
0,country,KAZ,gov_debt_to_gdp_perc,2010,2010,0.10683
0,country,KEN,gov_debt_to_gdp_perc,2010,2010,0.36695
0,country,KIR,gov_debt_to_gdp_perc,2010,2010,0.08511
0,country,KOR,gov_debt_to_gdp_perc,2010,2010,0.2949
0,country,KWT,gov_debt_to_gdp_perc,2010,2010,0.06161
0,country,KGZ,gov_debt_to_gdp_perc,2010,2010,0.59699
0,country,LAO,gov_debt_to_gdp_perc,2010,2010,0.49315
0,country,LVA,gov_debt_to_gdp_perc,2010,2010,0.46518
0,country,LBN,gov_debt_to_gdp_perc,2010,2010,1.36829
0,country,LSO,gov_debt_to_gdp_perc,2010,2010,0.35543
0,country,LBR,gov_debt_to_gdp_perc,2010,2010,0.25397
0,country,LBY,gov_debt_to_gdp_perc,2010,2010,0.02864
0,country,LTU,gov_debt_to_gdp_perc,2010,2010,0.36209
0,country,LUX,gov_debt_to_gdp_perc,2010,2010,0.19092
0,country,MDG,gov_debt_to_gdp_perc,2010,2010,0.32341
0,country,MWI,gov_debt_to_gdp_perc,2010,2010,0.19312
0,country,MYS,gov_debt_to_gdp_perc,2010,2010,0.51212
0,country,MDV,gov_debt_to_gdp_perc,2010,2010,0.52748
0,country,MLI,gov_debt_to_gdp_perc,2010,2010,0.25289
0,country,MLT,gov_debt_to_gdp_perc,2010,2010,0.65473
0,country,MHL,gov_debt_to_gdp_perc,2010,2010,0.38997
0,country,MRT,gov_debt_to_gdp_perc,2010,2010,0.43947
0,country,MUS,gov_debt_to_gdp_perc,2010,2010,0.54392
0,country,MEX,gov_debt_to_gdp_perc,2010,2010,0.41963
0,country,FSM,gov_debt_to_gdp_perc,2010,2010,0.2884
0,country,MDA,gov_debt_to_gdp_perc,2010,2010,0.25475
0,country,MNG,gov_debt_to_gdp_perc,2010,2010,0.30975
0,country,MNE,gov_debt_to_gdp_perc,2010,2010,0.45007
0,country,MAR,gov_debt_to_gdp_perc,2010,2010,0.45275
0,country,MOZ,gov_debt_to_gdp_perc,2010,2010,0.39618
0,country,MMR,gov_debt_to_gdp_perc,2010,2010,0.52478
