latest_year,id,indicator,year,xaxis_display,value
0,AF,gov_debt_to_gdp_perc,2010,,0.07697
0,AL,gov_debt_to_gdp_perc,2010,,0.5771999999999999
0,DZ,gov_debt_to_gdp_perc,2010,,0.09513
0,AO,gov_debt_to_gdp_perc,2010,,0.37163
0,AG,gov_debt_to_gdp_perc,2010,,0.89742
0,AR,gov_debt_to_gdp_perc,2010,,0.43454
0,AM,gov_debt_to_gdp_perc,2010,,0.39667
0,AU,gov_debt_to_gdp_perc,2010,,0.20347
0,AT,gov_debt_to_gdp_perc,2010,,0.82418
0,AZ,gov_debt_to_gdp_perc,2010,,0.04981
0,BS,gov_debt_to_gdp_perc,2010,,0.33883
0,BH,gov_debt_to_gdp_perc,2010,,0.30011
0,BD,gov_debt_to_gdp_perc,2010,,0.29623
0,BB,gov_debt_to_gdp_perc,2010,,1.08157
0,BY,gov_debt_to_gdp_perc,2010,,0.36805
0,BE,gov_debt_to_gdp_perc,2010,,1.00273
0,BZ,gov_debt_to_gdp_perc,2010,,0.6880700000000001
0,BJ,gov_debt_to_gdp_perc,2010,,0.21
0,BT,gov_debt_to_gdp_perc,2010,,0.56452
0,BO,gov_debt_to_gdp_perc,2010,,0.37637
0,BA,gov_debt_to_gdp_perc,2010,,0.40805
0,BW,gov_debt_to_gdp_perc,2010,,0.20826
0,BR,gov_debt_to_gdp_perc,2010,,0.62433
0,BN,gov_debt_to_gdp_perc,2010,,0.01113
0,BG,gov_debt_to_gdp_perc,2010,,0.14064
0,BF,gov_debt_to_gdp_perc,2010,,0.23694
0,BI,gov_debt_to_gdp_perc,2010,,0.46912
0,CV,gov_debt_to_gdp_perc,2010,,0.6615099999999999
0,KH,gov_debt_to_gdp_perc,2010,,0.23402
0,CM,gov_debt_to_gdp_perc,2010,,0.13989
0,CA,gov_debt_to_gdp_perc,2010,,0.83976
0,CF,gov_debt_to_gdp_perc,2010,,0.19883
0,TD,gov_debt_to_gdp_perc,2010,,0.22506
0,CL,gov_debt_to_gdp_perc,2010,,0.08607
0,CN,gov_debt_to_gdp_perc,2010,,0.33924
0,CO,gov_debt_to_gdp_perc,2010,,0.36497
0,KM,gov_debt_to_gdp_perc,2010,,0.30458999999999997
0,CG,gov_debt_to_gdp_perc,2010,,0.43487
0,CR,gov_debt_to_gdp_perc,2010,,0.2809
0,CI,gov_debt_to_gdp_perc,2010,,0.45612
0,HR,gov_debt_to_gdp_perc,2010,,0.56958
0,CY,gov_debt_to_gdp_perc,2010,,0.5534
0,CZ,gov_debt_to_gdp_perc,2010,,0.3706799999999999
0,CD,gov_debt_to_gdp_perc,2010,,0.29479
0,DK,gov_debt_to_gdp_perc,2010,,0.42588
0,DJ,gov_debt_to_gdp_perc,2010,,0.27884
0,DM,gov_debt_to_gdp_perc,2010,,0.6682899999999999
0,DO,gov_debt_to_gdp_perc,2010,,0.37311
0,EC,gov_debt_to_gdp_perc,2010,,0.18436
0,EG,gov_debt_to_gdp_perc,2010,,0.6959000000000001
0,SV,gov_debt_to_gdp_perc,2010,,0.66794
0,GQ,gov_debt_to_gdp_perc,2010,,0.07894
0,ER,gov_debt_to_gdp_perc,2010,,2.0178700000000003
0,EE,gov_debt_to_gdp_perc,2010,,0.06661
0,SZ,gov_debt_to_gdp_perc,2010,,0.13829
0,ET,gov_debt_to_gdp_perc,2010,,0.39436
0,FJ,gov_debt_to_gdp_perc,2010,,0.53355
0,FI,gov_debt_to_gdp_perc,2010,,0.5011399999999999
0,FR,gov_debt_to_gdp_perc,2010,,0.85256
0,GA,gov_debt_to_gdp_perc,2010,,0.21295000000000003
0,GM,gov_debt_to_gdp_perc,2010,,0.42949
0,GE,gov_debt_to_gdp_perc,2010,,0.31448
0,DE,gov_debt_to_gdp_perc,2010,,0.8199500000000001
0,GH,gov_debt_to_gdp_perc,2010,,0.34507
0,GR,gov_debt_to_gdp_perc,2010,,1.47494
0,GD,gov_debt_to_gdp_perc,2010,,0.96216
0,GT,gov_debt_to_gdp_perc,2010,,0.24006
0,GN,gov_debt_to_gdp_perc,2010,,0.68853
0,GW,gov_debt_to_gdp_perc,2010,,0.61726
0,GY,gov_debt_to_gdp_perc,2010,,0.5252
0,HT,gov_debt_to_gdp_perc,2010,,0.24902
0,HN,gov_debt_to_gdp_perc,2010,,0.21697
0,HU,gov_debt_to_gdp_perc,2010,,0.8000700000000001
0,IS,gov_debt_to_gdp_perc,2010,,1.33141
0,IN,gov_debt_to_gdp_perc,2010,,0.67702
0,ID,gov_debt_to_gdp_perc,2010,,0.26363
0,IR,gov_debt_to_gdp_perc,2010,,0.14757
0,IQ,gov_debt_to_gdp_perc,2010,,0.53533
0,IE,gov_debt_to_gdp_perc,2010,,0.86163
0,IL,gov_debt_to_gdp_perc,2010,,0.6916100000000001
0,IT,gov_debt_to_gdp_perc,2010,,1.19199
0,JM,gov_debt_to_gdp_perc,2010,,1.414
0,JP,gov_debt_to_gdp_perc,2010,,2.05879
0,JO,gov_debt_to_gdp_perc,2010,,0.59437
0,KZ,gov_debt_to_gdp_perc,2010,,0.10683
0,KE,gov_debt_to_gdp_perc,2010,,0.36695
0,KI,gov_debt_to_gdp_perc,2010,,0.0943
0,KR,gov_debt_to_gdp_perc,2010,,0.2949
0,KW,gov_debt_to_gdp_perc,2010,,0.06161
0,KG,gov_debt_to_gdp_perc,2010,,0.59699
0,LA,gov_debt_to_gdp_perc,2010,,0.49315
0,LV,gov_debt_to_gdp_perc,2010,,0.46518
0,LB,gov_debt_to_gdp_perc,2010,,1.36829
0,LS,gov_debt_to_gdp_perc,2010,,0.3381
0,LR,gov_debt_to_gdp_perc,2010,,0.25397
0,LY,gov_debt_to_gdp_perc,2010,,0.02864
0,LT,gov_debt_to_gdp_perc,2010,,0.36209
0,LU,gov_debt_to_gdp_perc,2010,,0.1909
0,MG,gov_debt_to_gdp_perc,2010,,0.32341000000000003
0,MW,gov_debt_to_gdp_perc,2010,,0.19312000000000001
0,MY,gov_debt_to_gdp_perc,2010,,0.51212
0,MV,gov_debt_to_gdp_perc,2010,,0.52748
0,ML,gov_debt_to_gdp_perc,2010,,0.25289
0,MT,gov_debt_to_gdp_perc,2010,,0.65473
0,MH,gov_debt_to_gdp_perc,2010,,0.39009
0,MR,gov_debt_to_gdp_perc,2010,,0.43947
0,MU,gov_debt_to_gdp_perc,2010,,0.5439200000000001
0,MX,gov_debt_to_gdp_perc,2010,,0.40155
0,FM,gov_debt_to_gdp_perc,2010,,0.29466000000000003
0,MD,gov_debt_to_gdp_perc,2010,,0.25475000000000003
0,MN,gov_debt_to_gdp_perc,2010,,0.30975
0,ME,gov_debt_to_gdp_perc,2010,,0.45007
0,MA,gov_debt_to_gdp_perc,2010,,0.4527600000000001
0,MZ,gov_debt_to_gdp_perc,2010,,0.38551
0,MM,gov_debt_to_gdp_perc,2010,,0.55908
0,NAM,gov_debt_to_gdp_perc,2010,,0.16327999999999998
0,NR,gov_debt_to_gdp_perc,2010,,2.4249799999999997
0,NP,gov_debt_to_gdp_perc,2010,,0.35391
0,NL,gov_debt_to_gdp_perc,2010,,0.59251
0,NZ,gov_debt_to_gdp_perc,2010,,0.29678
0,NI,gov_debt_to_gdp_perc,2010,,0.30347
0,NE,gov_debt_to_gdp_perc,2010,,0.15078
0,NG,gov_debt_to_gdp_perc,2010,,0.09393
0,MK,gov_debt_to_gdp_perc,2010,,0.24273
0,NO,gov_debt_to_gdp_perc,2010,,0.42952
0,OM,gov_debt_to_gdp_perc,2010,,0.05461999999999999
0,PK,gov_debt_to_gdp_perc,2010,,0.55259
0,PW,gov_debt_to_gdp_perc,2010,,0.34444
0,PA,gov_debt_to_gdp_perc,2010,,0.39095
0,PG,gov_debt_to_gdp_perc,2010,,0.17286
0,PY,gov_debt_to_gdp_perc,2010,,0.12976
0,PE,gov_debt_to_gdp_perc,2010,,0.25156
0,PH,gov_debt_to_gdp_perc,2010,,0.47587
0,PL,gov_debt_to_gdp_perc,2010,,0.5401
0,PT,gov_debt_to_gdp_perc,2010,,1.00214
0,QA,gov_debt_to_gdp_perc,2010,,0.30425
0,RO,gov_debt_to_gdp_perc,2010,,0.30171
0,RU,gov_debt_to_gdp_perc,2010,,0.10105
0,RW,gov_debt_to_gdp_perc,2010,,0.18816
0,KN,gov_debt_to_gdp_perc,2010,,1.34901
0,LC,gov_debt_to_gdp_perc,2010,,0.52766
0,VC,gov_debt_to_gdp_perc,2010,,0.61098
0,WS,gov_debt_to_gdp_perc,2010,,0.40281
0,ST,gov_debt_to_gdp_perc,2010,,0.82992
0,SA,gov_debt_to_gdp_perc,2010,,0.08426
0,SN,gov_debt_to_gdp_perc,2010,,0.34600000000000003
0,RS,gov_debt_to_gdp_perc,2010,,0.39766
0,SC,gov_debt_to_gdp_perc,2010,,0.8222400000000001
0,SL,gov_debt_to_gdp_perc,2010,,0.46849
0,SG,gov_debt_to_gdp_perc,2010,,0.98674
0,SK,gov_debt_to_gdp_perc,2010,,0.40615
0,SI,gov_debt_to_gdp_perc,2010,,0.38269
0,SB,gov_debt_to_gdp_perc,2010,,0.22948
0,ZA,gov_debt_to_gdp_perc,2010,,0.31184999999999996
0,ES,gov_debt_to_gdp_perc,2010,,0.60515
0,LK,gov_debt_to_gdp_perc,2010,,0.68731
0,SD,gov_debt_to_gdp_perc,2010,,0.74568
0,SR,gov_debt_to_gdp_perc,2010,,0.17317
0,SE,gov_debt_to_gdp_perc,2010,,0.38066
0,CH,gov_debt_to_gdp_perc,2010,,0.41469
1,SY,gov_debt_to_gdp_perc,2010,,0.30024
0,TJ,gov_debt_to_gdp_perc,2010,,0.36838
0,TZ,gov_debt_to_gdp_perc,2010,,0.27553
0,TH,gov_debt_to_gdp_perc,2010,,0.39831000000000005
0,TL,gov_debt_to_gdp_perc,2010,,0
0,TG,gov_debt_to_gdp_perc,2010,,0.33454
0,TO,gov_debt_to_gdp_perc,2010,,0.44732
0,TT,gov_debt_to_gdp_perc,2010,,0.20871
0,TN,gov_debt_to_gdp_perc,2010,,0.4336
0,TR,gov_debt_to_gdp_perc,2010,,0.39511
0,TM,gov_debt_to_gdp_perc,2010,,0.06215
0,TV,gov_debt_to_gdp_perc,2010,,0.21059
0,UG,gov_debt_to_gdp_perc,2010,,0.18355
0,UA,gov_debt_to_gdp_perc,2010,,0.4062599999999999
0,AE,gov_debt_to_gdp_perc,2010,,0.18799
0,GB,gov_debt_to_gdp_perc,2010,,0.7585999999999999
0,US,gov_debt_to_gdp_perc,2010,,0.95157
0,UY,gov_debt_to_gdp_perc,2010,,0.40853
0,UZ,gov_debt_to_gdp_perc,2010,,0.0661
0,VU,gov_debt_to_gdp_perc,2010,,0.20223
0,VE,gov_debt_to_gdp_perc,2010,,0.37706
0,VN,gov_debt_to_gdp_perc,2010,,0.37286
0,YE,gov_debt_to_gdp_perc,2010,,0.4238
0,ZM,gov_debt_to_gdp_perc,2010,,0.18898
0,ZW,gov_debt_to_gdp_perc,2010,,0.47577
0,AF,gov_debt_to_gdp_perc,2011,,0.07501000000000001
0,AL,gov_debt_to_gdp_perc,2011,,0.5941299999999999
0,DZ,gov_debt_to_gdp_perc,2011,,0.08478
0,AO,gov_debt_to_gdp_perc,2011,,0.29558
0,AG,gov_debt_to_gdp_perc,2011,,0.91803
0,AR,gov_debt_to_gdp_perc,2011,,0.38935
0,AM,gov_debt_to_gdp_perc,2011,,0.42006
0,AU,gov_debt_to_gdp_perc,2011,,0.24041
