latest_year,id,indicator,year,xaxis_display,value
0,AF,gov_debt_to_gdp_perc,2010,,0.07697
0,AF,gov_debt_to_gdp_perc,2011,,0.07501
0,AF,gov_debt_to_gdp_perc,2012,,0.06759
0,AF,gov_debt_to_gdp_perc,2013,,0.06904
0,AF,gov_debt_to_gdp_perc,2014,,0.087
0,AF,gov_debt_to_gdp_perc,2015,,0.09154
0,AF,gov_debt_to_gdp_perc,2016,,0.08437
0,AF,gov_debt_to_gdp_perc,2017,,0.07998
0,AF,gov_debt_to_gdp_perc,2018,,0.07384
0,AF,gov_debt_to_gdp_perc,2019,,0.06136
0,AF,gov_debt_to_gdp_perc,2020,,0.07331
0,AF,gov_debt_to_gdp_perc,2021,,0.11136
0,AF,gov_debt_to_gdp_perc,2022,,0.10643
1,AF,gov_debt_to_gdp_perc,2023,,0.08255
0,AL,gov_debt_to_gdp_perc,2010,,0.57041
0,AL,gov_debt_to_gdp_perc,2011,,0.58714
0,AL,gov_debt_to_gdp_perc,2012,,0.61414
0,AL,gov_debt_to_gdp_perc,2013,,0.69563
0,AL,gov_debt_to_gdp_perc,2014,,0.71146
0,AL,gov_debt_to_gdp_perc,2015,,0.7284900000000001
0,AL,gov_debt_to_gdp_perc,2016,,0.72462
0,AL,gov_debt_to_gdp_perc,2017,,0.7104900000000001
0,AL,gov_debt_to_gdp_perc,2018,,0.68655
0,AL,gov_debt_to_gdp_perc,2019,,0.6657500000000001
0,AL,gov_debt_to_gdp_perc,2020,,0.75381
0,AL,gov_debt_to_gdp_perc,2021,,0.74795
0,AL,gov_debt_to_gdp_perc,2022,,0.6519799999999999
0,AL,gov_debt_to_gdp_perc,2023,,0.58365
1,AL,gov_debt_to_gdp_perc,2024,,0.55653
0,DZ,gov_debt_to_gdp_perc,2010,,0.09513
0,DZ,gov_debt_to_gdp_perc,2011,,0.08478
0,DZ,gov_debt_to_gdp_perc,2012,,0.08583
0,DZ,gov_debt_to_gdp_perc,2013,,0.06478
0,DZ,gov_debt_to_gdp_perc,2014,,0.06853
0,DZ,gov_debt_to_gdp_perc,2015,,0.07731
0,DZ,gov_debt_to_gdp_perc,2016,,0.18094
0,DZ,gov_debt_to_gdp_perc,2017,,0.24015
0,DZ,gov_debt_to_gdp_perc,2018,,0.34493
0,DZ,gov_debt_to_gdp_perc,2019,,0.40882
0,DZ,gov_debt_to_gdp_perc,2020,,0.45967
0,DZ,gov_debt_to_gdp_perc,2021,,0.55145
0,DZ,gov_debt_to_gdp_perc,2022,,0.48068
0,DZ,gov_debt_to_gdp_perc,2023,,0.47712
1,DZ,gov_debt_to_gdp_perc,2024,,0.46202
0,AO,gov_debt_to_gdp_perc,2010,,0.32594
0,AO,gov_debt_to_gdp_perc,2011,,0.26318
0,AO,gov_debt_to_gdp_perc,2012,,0.23805
0,AO,gov_debt_to_gdp_perc,2013,,0.29473
0,AO,gov_debt_to_gdp_perc,2014,,0.35274
0,AO,gov_debt_to_gdp_perc,2015,,0.50386
0,AO,gov_debt_to_gdp_perc,2016,,0.6667000000000001
0,AO,gov_debt_to_gdp_perc,2017,,0.60492
0,AO,gov_debt_to_gdp_perc,2018,,0.82541
0,AO,gov_debt_to_gdp_perc,2019,,1.01373
0,AO,gov_debt_to_gdp_perc,2020,,1.19145
0,AO,gov_debt_to_gdp_perc,2021,,0.74292
0,AO,gov_debt_to_gdp_perc,2022,,0.56108
0,AO,gov_debt_to_gdp_perc,2023,,0.7138500000000001
1,AO,gov_debt_to_gdp_perc,2024,,0.62501
0,AG,gov_debt_to_gdp_perc,2010,,0.7939799999999999
0,AG,gov_debt_to_gdp_perc,2011,,0.8112699999999999
0,AG,gov_debt_to_gdp_perc,2012,,0.76929
0,AG,gov_debt_to_gdp_perc,2013,,0.8538
0,AG,gov_debt_to_gdp_perc,2014,,0.91887
