latest_year,id,indicator,year,xaxis_display,value
0,AF,gov_debt_to_gdp_perc,2010,,0.07697
0,AF,gov_debt_to_gdp_perc,2011,,0.07501000000000001
0,AF,gov_debt_to_gdp_perc,2012,,0.06759
0,AF,gov_debt_to_gdp_perc,2013,,0.06904
0,AF,gov_debt_to_gdp_perc,2014,,0.087
0,AF,gov_debt_to_gdp_perc,2015,,0.09154
0,AF,gov_debt_to_gdp_perc,2016,,0.08437
0,AF,gov_debt_to_gdp_perc,2017,,0.07998
0,AF,gov_debt_to_gdp_perc,2018,,0.07384
0,AF,gov_debt_to_gdp_perc,2019,,0.06136
0,AF,gov_debt_to_gdp_perc,2020,,0.07331
0,AF,gov_debt_to_gdp_perc,2021,,0.11136
0,AF,gov_debt_to_gdp_perc,2022,,0.10643
0,AF,gov_debt_to_gdp_perc,2023,,0.08255000000000001
0,AF,gov_debt_to_gdp_perc,2024,,0.08912
1,AF,gov_debt_to_gdp_perc,2025,,0.07976
0,AO,gov_debt_to_gdp_perc,2010,,0.32594
0,AO,gov_debt_to_gdp_perc,2011,,0.26318
0,AO,gov_debt_to_gdp_perc,2012,,0.23805
0,AO,gov_debt_to_gdp_perc,2013,,0.29473
0,AO,gov_debt_to_gdp_perc,2014,,0.35274
0,AO,gov_debt_to_gdp_perc,2015,,0.50386
0,AO,gov_debt_to_gdp_perc,2016,,0.65692
0,AO,gov_debt_to_gdp_perc,2017,,0.59607
0,AO,gov_debt_to_gdp_perc,2018,,0.81636
0,AO,gov_debt_to_gdp_perc,2019,,1.0079900000000002
0,AO,gov_debt_to_gdp_perc,2020,,1.19839
0,AO,gov_debt_to_gdp_perc,2021,,0.75503
0,AO,gov_debt_to_gdp_perc,2022,,0.57427
0,AO,gov_debt_to_gdp_perc,2023,,0.75739
0,AO,gov_debt_to_gdp_perc,2024,,0.57107
1,AO,gov_debt_to_gdp_perc,2025,,0.51311
0,AL,gov_debt_to_gdp_perc,2010,,0.5771999999999999
0,AL,gov_debt_to_gdp_perc,2011,,0.5941299999999999
0,AL,gov_debt_to_gdp_perc,2012,,0.62144
0,AL,gov_debt_to_gdp_perc,2013,,0.70391
0,AL,gov_debt_to_gdp_perc,2014,,0.71992
